2005;MATO GROSSO DO SUL;Cédulas - 1a. família;50.00;5.314,00
2005;MATO GROSSO DO SUL;Cédulas - 1a. família;100.00;16,00
2005;MINAS GERAIS;Cédulas - 1a. família;1.00;19,00
2005;MINAS GERAIS;Cédulas - 1a. família;2.00;85,00
2005;MINAS GERAIS;Cédulas - 1a. família;5.00;2.784,00
2005;MINAS GERAIS;Cédulas - em polímero;10.00;1.361,00
2005;MINAS GERAIS;Cédulas - 1a. família;10.00;12.138,00
2005;MINAS GERAIS;Cédulas - 1a. família;20.00;4.329,00
2005;MINAS GERAIS;Cédulas - 1a. família;50.00;27.596,00
2005;MINAS GERAIS;Cédulas - 1a. família;100.00;464,00
2005;NAO INFORMADO;Cédulas - 1a. família;5.00;3,00
2005;NAO INFORMADO;Cédulas - em polímero;10.00;1,00
2005;NAO INFORMADO;Cédulas - 1a. família;10.00;30,00
2005;NAO INFORMADO;Cédulas - 1a. família;20.00;1,00
2005;NAO INFORMADO;Cédulas - 1a. família;50.00;51,00
2005;PARÁ;Cédulas - 1a. família;1.00;1,00
2005;PARÁ;Cédulas - 1a. família;2.00;6,00
2005;PARÁ;Cédulas - 1a. família;5.00;96,00
2005;PARÁ;Cédulas - em polímero;10.00;149,00
2005;PARÁ;Cédulas - 1a. família;10.00;2.228,00
2005;PARÁ;Cédulas - 1a. família;20.00;409,00
2005;PARÁ;Cédulas - 1a. família;50.00;2.369,00
2005;PARÁ;Cédulas - 1a. família;100.00;16,00
2005;PARAÍBA;Cédulas - 1a. família;2.00;23,00
2005;PARAÍBA;Cédulas - 1a. família;5.00;183,00
2005;PARAÍBA;Cédulas - em polímero;10.00;13,00
2005;PARAÍBA;Cédulas - 1a. família;10.00;305,00
2005;PARAÍBA;Cédulas - 1a. família;20.00;382,00
2005;PARAÍBA;Cédulas - 1a. família;50.00;1.922,00
2005;PARAÍBA;Cédulas - 1a. família;100.00;9,00
2005;PARANÁ;Cédulas - 1a. família;1.00;29,00
2005;PARANÁ;Cédulas - 1a. família;2.00;76,00
2005;PARANÁ;Cédulas - 1a. família;5.00;630,00
2005;PARANÁ;Cédulas - em polímero;10.00;2.089,00
2005;PARANÁ;Cédulas - 1a. família;10.00;2.245,00
2005;PARANÁ;Cédulas - 1a. família;20.00;685,00
2005;PARANÁ;Cédulas - 1a. família;50.00;14.816,00
